Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
51,HTC,U20 5G,2020,June 16","Coming soon. Exp. release 2020,July",171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),215.5 g (7.62 oz),"Dual SIM (Nano-SIM,dual stand-by)","Capacitive touchscreen,16M colors"
52,HTC,Desire 20 Pro,2020,June 16","Coming soon. Exp. release 2020,July",162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),201 g (7.09 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
53,HTC,Wildfire R70,2020,February 27","Coming soon. Exp. release 2020,Q3",163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
54,HTC,Desire 19s,2019,November 14","Available. Released 2019,November 14",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
55,HTC,Exodus 1s,2019,October 19","Available. Released 2019,December",154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
56,HTC,Wildfire X,2019,August 14","Available. Released 2019,August 22",156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
57,HTC,U19e,2019,June 11","Available. Released 2019,June 11",156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in),180 g (6.35 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
58,HTC,Desire 19+,2019,June 11","Available. Released 2019,August 07",156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170 g (6.00 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
59,HTC,Schubert,,Discontinued,,,Mini-SIM,"TFT capacitive touchscreen,16M colors",,,"Accelerometer
60,Huawei,Enjoy 20 Pro,2020,June 19","Coming soon. Exp. release 2020,June 24",160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),192 g (6.77 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
61,Huawei,Enjoy Z 5G,2020,May 24","Available. Released 2020,June 03",160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),182 g (6.42 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
62,Huawei,P Smart S,2020,June 09","Available. Released 2020,June 09",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163 g (5.75 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
63,Huawei,Y8p,2020,May 18","Available. Released 2020,June 15",157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),163 g (5.75 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
64,Huawei,P40 lite 5G,2020,May 15","Available. Released 2020,May 28",162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),189 g (6.67 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
65,Huawei,P30 Pro New Edition,2020,May 12","Available. Released 2020,June 01",158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in),192 g (6.77 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
66,Huawei,MatePad T8,2020,May 07","Available. Released Exp. release 2020,May 19",199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in),310 g (10.93 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","8.0 inches
67,Huawei,Y8s,2020,May 6","Available. Released 2020,May 21",162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
68,Huawei,Y6p,2020,May 05","Available. Released 2020,May 06",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185 g (6.53 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
69,Huawei,Y5p,2020,May 05","Available. Released 2020,May 06",146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
70,Huawei,P smart 2020,2020,April 29","Available. Released 2020,May 8",155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),160 g (5.64 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
71,Huawei,nova 7 Pro 5G,2020,April 23","Available. Released 2020,April 28",160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in),178 g (6.28 oz),"Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
72,Huawei,nova 7 5G,2020,April 23","Available. Released 2020,April 28",160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
73,Huawei,nova 7 SE,2020,April 23","Available. Released 2020,April 28",162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),189 g (6.67 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
74,Huawei,MatePad,2020,April 23","Available. Released 2020,April 28",245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in),450 g (0.99 lb),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","10.4 inches
75,Huawei,Watch GT 2e,2020,March 26","Available. Released 2020,April 20",53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in),43 g (1.52 oz),No,"AMOLED capacitive touchscreen,16M colors","1.39 inches
76,Huawei,P40 Pro+,2020,March 26","Available. Released 2020,June 06",158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),226 g (7.97 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
77,Huawei,P40 Pro,2020,March 26","Available. Released 2020,April 07",158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in),209 g (7.37 oz),"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
78,Huawei,P40,2020,March 26","Available. Released 2020,April 07",148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in),175 g (6.17 oz),"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
79,Huawei,P40 lite E,2020,March 04","Available. Released 2020,March 12",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
80,Huawei,P40 lite,2020,February 27","Available. Released 2020,March 02",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
81,Huawei,MatePad Pro 5G,2020,February 24","Available. Released 2020,May 27",246 x 159 x 7.2 mm (9.69 x 6.26 x 0.28 in),460 g (1.01 lb),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","10.8 inches
82,Huawei,Mate Xs,2020,February 24","Available. Released 2020,March 05",Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.5 x 11 mm,300 g (10.58 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Foldable OLED capacitive touchscreen,16M colors"
83,Huawei,P30 lite New Edition,2020,January 14","Available. Released 2020,January 14",152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),152.9 g (5.40 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
84,Huawei,Y7p,2020,February 07","Available. Released 2020,February 07",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176 g (6.21 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
85,Huawei,nova 7i,2020,January 30","Available. Released 2020,February 14",159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in),183 g (6.46 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
